Comment Number,Comment Text
137,"For making us laugh at the truth, no matter how sad it is. Thank you."
138,"Kunal Kamra! you're a beacon of fearless comedy, taking on the powers that be with unapologetic ferocity! Your razor-sharp wit and unflinching commitment to free speech are a testament to the true spirit of satire. Keep speaking truth to power, and never let the bastards dull your edge!"
139,Keep up the good fight! You're one of the greats and will be remembered in the same breath as Lenny Bruce and Carlin
140,A small token of appreciation for your fearless satire.
141,Proud of you Kunal  this is NOT EASY.
142,Thanks! I really missed your work. It's almost impossible to attend your live performances anymore.
143,"Salute to your audacity brother. We are living in an era where the media choose to stay like puppets of government but you opt to stand up and speak the truth. Hats off to you. Bravo!!! Thanks! For speaking about the real side of India. Keep going on, we are with you."
144,Thank you for doing journalism when journalists are busy doing comedy
145,"Thanks Kunal for being the ""New Indian Voice"" ...I can see the start of another Freedom movement against our own corrupt politicians  of New India after British Raj has left ..."
146,"Fearless indeed! A big salute for making this amazing video, loved the songs."
147,धन्यवाद!
148,You have ended fear of many people who where afraid to speak against these corrupt people/regime. Thank you and take care 
149,"Bol ke lab azaad hai tere.
Bol zabaan ab tak teri hai.

Jiyo mere bhai. Aur ladte raho."
150,It's not enough to say that you're brave. This really requires 56 inch. May God always be with you. 
151,Bravo bro! Kunal kamra never scared of any political mafias to tell the truth. Hat off to you bro! Thanks!
152,"Thank you, Kunal!
I may not agree on a lot of your stances, but I stand with you for ""Freedom of Speech & Expression""."
153,"Don't have any other way to support you, but you are a legend."
154,May the force be with you.
155,"Your blend of sharp humor and fearless commentary is a rare craft. It takes both skill and courage to challenge the establishment with such precision. More power to you.

Please keep it up Kunal. I hope to see you perform live one day."
156,A warrior who wielded humor as his sword and truth as his shield—history will remember your courage.
157,Thank you for doing what you do Kunal! We need more voices such as yours. I don’t know how else to support you.
158,"Thank you Kunal,  you are a fearless warrior India does not deserve. What you do openly is appreciable and takes lot of courage. I stand by you and thank you for making this video and taking on the might of government and corporates. Revealing the emptiness of these billionaires and so called pseudo simpletons shows your understanding of the human mind and how it works. Thank you from bottom of my heart. PS: I hate to see 1/4th of donation is taxed"
159,Thank you for using your voice and humor to stand for truth and justice. Respect
160,"It takes lots of guts and courage.
Thank you for doing what you do 

Inquilab Zindabad"
161,"Thanks! You did amazingly courageous job... you actually did the job of media which is comfortably sitting in laps of corrupt politicians of india and doesn't do any justice to their duty but you SIR, uffff....  no words to appreciate ur courage 
Lots of love , respect and support to you "
162,Thats what a satire should look like!!! Thank you for your bravery!!
163,"Dear Kunal, Thank you. You are an inspiration. Your wit, humour and music, tap feelings of citizens, speaking truth to power. Your art in the truest sense restores ideals of our republic - where the mind is without fear and the head is held high. More power to you! "
164,"Just a small contribution from my side. Thanks, Kunal for speaking the truth. In a world of Kanhaiya kumar, Shehla Rashid be like Kunal Kamra and Umar Khalid etc. Brave and courageous. "
165,Thank you for a wonderful special. Hats off to your bravery!
166,Content which I watched with full dhamaal after a long time but from the same man. Hats off brother..You are the voice of millions from India.
167,"Thanks! It’s vintage Kamra: sharp, fearless, and hilarious. The backlash just proves how much his comedy rattles the right cages. Keep it coming!"
168,Thanks Kunal!! People like you give us hope — it takes courage to speak up. More power to you!!
169,"The least the citizen's of India can do! Must be tough, but you are one of the few people who needs to fight for all of us! More power Kamra "
170,"You are an Inspiration in this country that is keeping freedom of speech alive. Thankyou for everything Kunal, you need every support you can get."
171,Never Shut Up Ya Kunal! You are Hope.
172,"The work of media is being done by comedians. Hats off to you for speaking truth is such an intolerable environment

PS : This is my first time youtube thanks and you deserve it"
173,You are the best... we have to criticize the government to become better 
174,Thanks for doing comedy like it’s journalism🇮🇳
175,"Really appreciate your bravery! Keep up the good work, we stand with you"
176,Best use of free speech. Love your courage and bravery. Good job big brother.
177,"A much needed show! Hats off to your bravery, man!"
178,Thanks!
179,"Thank you, Kunal, for everything you do. I’ve always enjoyed your work, but my respect for you grew tremendously after the Arnab episode. Since then, you’ve only continued to add to it. I once saw you as just a comedian, but you’re so much more. An unshakeable voice for people like us. Thank you for keeping hope alive and for your unwavering courage. 

Not to forget the documentary you made, “The Free Market” it was truly commendable. People who think your content is just for sensationalism should definitely watch it to see the effort and thought that have been put into it. 
Take care "
180,Bhai you are like freedom fighter but for 21st century india. You are doing right thing and I am happy that I can help you this way. 
181,"Kunal bhai, you are a very courageous and brave true patriot. I salute people like you... Only people like you can save our country from becoming a jungle rule and from the end of democracy... Do not lose courage, no matter how many problems come, every true person of the country is with you.. Jai hind, Jai bharat"
182,Thanks
183,"Dear Kunal,

We’re all with you, brother—wholeheartedly and unconditionally. I deeply appreciate what you're doing and the courage you're showing through it all. These are not easy times, and it takes immense strength to speak up and stand your ground.

Please know that you’re not alone. Each one of us may be facing different battles but at the core we’re in the same boat, driven by the same desire for truth, justice, and a better tomorrow. Let’s stay connected, stay united, and keep pushing forward together.

Sending you strength, love, and all my best wishes, always.
More power to you, my dear brother. "
184,"Kamra holding the fort. Thank you, Man!"
185,"A small amount for the lawyer's fees that's coming your way!
Salute to your courage brother!"
186,Bhagat Singh was martyred on March 23rd. What a day to release the video.
187,Thank you for having a spine to echo our voice
188,"मै आपका ध्रुव राठी जितना support करता हूं आप दोनों जो देश के लिए कर रहे है ! वही भगत सिंह , चंद्रशेखर आजाद ने किया वर्षों पहले किया था नमन है आपकोThanks"
189,Kunal is what the nation needs
190,"Thanks Kunal! Keep doing for the common man/woman what they aren't able to do for themselves: ""SPEAK TRUTH TO POWER"" and ""COMMON SENSE"" "
191,A much-needed dose of reality in these crazy times! Thanks for speaking the truth Kunal – we need more of this!
192,"Kunal man you really have balls of steel doing this in today's environment, I fully support you . Freedom of speech is my fundamental right , I hope things change"
